qid	rank	docid	score	title	query_5w	query_text
2	3	566	5.1532555	[relationship of maximal tubular phosphate reabsorption to filtration rate in the dog a maximal renal tubular rate of reabsorption of phos- phate (tmp) has been demonstrated in the normal dog.]	the relationship of blood and	the relationship of blood and cerebrospinal fluid oxygen concentrations or partial pressures.  a method of interest is polarography.
2	4	1024	4.87816	[some bone lesions in the course of blood diseases with special reference to the formation of bony callus and to the treatment of fractures in patients suffering from blood diseases.]	the relationship of blood and	the relationship of blood and cerebrospinal fluid oxygen concentrations or partial pressures.  a method of interest is polarography.
2	5	4	4.7586865	[placental and cord blood lipids.]	the relationship of blood and	the relationship of blood and cerebrospinal fluid oxygen concentrations or partial pressures.  a method of interest is polarography.
2	6	80	4.6507797	[rate of change of carbon dioxide tension in arterial blood, jugular venous blood and cisternal cerebrospinal fluid on carbon dioxide administration .]	the relationship of blood and	the relationship of blood and cerebrospinal fluid oxygen concentrations or partial pressures.  a method of interest is polarography.
2	7	10	4.5339503	[changes in blood glucose and non-esterified fatty acids in the foetal and newborn lamb after injection of adrenaline .]	the relationship of blood and	the relationship of blood and cerebrospinal fluid oxygen concentrations or partial pressures.  a method of interest is polarography.
2	8	191	4.5264487	[the occurrence of megakaryocytes in the peripheral blood of dogs .]	the relationship of blood and	the relationship of blood and cerebrospinal fluid oxygen concentrations or partial pressures.  a method of interest is polarography.
2	9	52	4.4444	[blood and bone marrow damage caused by drugs .]	the relationship of blood and	the relationship of blood and cerebrospinal fluid oxygen concentrations or partial pressures.  a method of interest is polarography.
2	10	75	4.400474	[postural changes in blood distribution and its relation to the change in cardiac output .]	the relationship of blood and	the relationship of blood and cerebrospinal fluid oxygen concentrations or partial pressures.  a method of interest is polarography.
3	1	160	14.165159	[electron microscopy of the bovine lung.]	electron microscopy of lung or	electron microscopy of lung or bronchi.
3	2	70	10.316764	[a light and electron microscope study of developing respiratory tissue in the rat .]	electron microscopy of lung or	electron microscopy of lung or bronchi.
3	3	78	10.144554	[electron microscopy of cytoplasmic inclusions within /macrophages/ of human tissue .]	electron microscopy of lung or	electron microscopy of lung or bronchi.
3	4	234	8.252838	[cortisone and atypical pulmonary /epithelial/ hyperplasia further studies including electron microscopy, tissue culture, animal transplantation and long term observations .]	electron microscopy of lung or	electron microscopy of lung or bronchi.
3	5	230	7.989738	[the morphologic demonstration of an alveolar lining layer and its relationship to pulmonary surfactant .]	electron microscopy of lung or	electron microscopy of lung or bronchi.
3	6	71	7.336397	[the pathogenesis of viral influenzal pneumonia in mice .]	electron microscopy of lung or	electron microscopy of lung or bronchi.
3	7	11	7.335475	[electron-microscopic observatations on transference of fat through the human placenta .]	electron microscopy of lung or	electron microscopy of lung or bronchi.
3	8	286	7.022642	[632.]	electron microscopy of lung or	electron microscopy of lung or bronchi.
3	9	906	5.910293	[fine structure of staphylococccal l-forms.]	electron microscopy of lung or	electron microscopy of lung or bronchi.
3	10	282	5.451899	[617.]	electron microscopy of lung or	electron microscopy of lung or bronchi.
4	1	177	10.257851	[effect of parathyroid and other human tumors and tissues on bone resorption in tissue culture .]	tissue culture of lung or	tissue culture of lung or bronchial neoplasms.
4	2	209	9.353235	[mitotic lymphocytes in primary tissue cultures of normal and neoplastic human lung .]	tissue culture of lung or	tissue culture of lung or bronchial neoplasms.
4	3	234	9.133022	[cortisone and atypical pulmonary /epithelial/ hyperplasia further studies including electron microscopy, tissue culture, animal transplantation and long term observations .]	tissue culture of lung or	tissue culture of lung or bronchial neoplasms.
4	4	156	8.194995	[a comparison of the cytologic effects of leurosine methiodide and vinblastine in tissue culture .]	tissue culture of lung or	tissue culture of lung or bronchial neoplasms.
4	5	913	8.006433	[electron microscopic studies of mycoplasma (pplo strain 880) in artificial medium and in tissue culture.]	tissue culture of lung or	tissue culture of lung or bronchial neoplasms.
4	6	94	7.685635	[transformation of bovine cells in vitro after inoculation of simian virus 40 or its nucleic acid .]	tissue culture of lung or	tissue culture of lung or bronchial neoplasms.
4	7	207	6.8750706	[establishment of a cell line in vitro from a case of human lung cancer .]	tissue culture of lung or	tissue culture of lung or bronchial neoplasms.
4	8	405	6.631872	[1207.]	tissue culture of lung or	tissue culture of lung or bronchial neoplasms.
4	9	70	6.3791776	[a light and electron microscope study of developing respiratory tissue in the rat .]	tissue culture of lung or	tissue culture of lung or bronchial neoplasms.
4	10	259	6.3376374	[the behavior of lymphocytes in primary explants of human lung cancer in vitro .]	tissue culture of lung or	tissue culture of lung or bronchial neoplasms.
5	1	8	10.545015	[essential fatty acids and acids with trans-configuration in the subcutaneous and visceral fat of the newborn .]	the crossing of fatty acids	the crossing of fatty acids through the placental barrier.  normal fatty acid levels in placenta and fetus.
5	2	10	10.1421	[changes in blood glucose and non-esterified fatty acids in the foetal and newborn lamb after injection of adrenaline .]	the crossing of fatty acids	the crossing of fatty acids through the placental barrier.  normal fatty acid levels in placenta and fetus.
5	3	6	9.637857	[the concentration of non-esterified fatty acids in maternal and fetal plasma in intact, alloxan-diabetic and x-ray-irradiated rats .]	the crossing of fatty acids	the crossing of fatty acids through the placental barrier.  normal fatty acid levels in placenta and fetus.
5	4	188	8.732286	[release of free fatty acids from adipose tissue obtained from newborn infants .]	the crossing of fatty acids	the crossing of fatty acids through the placental barrier.  normal fatty acid levels in placenta and fetus.
5	5	5	7.170466	[free fatty acid concentration in maternal plasma and fetal body fat content .]	the crossing of fatty acids	the crossing of fatty acids through the placental barrier.  normal fatty acid levels in placenta and fetus.
5	6	308	6.116359	[5196.]	the crossing of fatty acids	the crossing of fatty acids through the placental barrier.  normal fatty acid levels in placenta and fetus.
5	7	330	6.1152716	[3682.]	the crossing of fatty acids	the crossing of fatty acids through the placental barrier.  normal fatty acid levels in placenta and fetus.
5	8	159	6.0136614	[studies of the generalized shwartzman reaction induced by diet vi.]	the crossing of fatty acids	the crossing of fatty acids through the placental barrier.  normal fatty acid levels in placenta and fetus.
5	9	327	5.892446	[1547.]	the crossing of fatty acids	the crossing of fatty acids through the placental barrier.  normal fatty acid levels in placenta and fetus.
5	10	333	5.8814163	[3107.]	the crossing of fatty acids	the crossing of fatty acids through the placental barrier.  normal fatty acid levels in placenta and fetus.
6	1	112	16.345348	[cardiac malformations associated with ventricular septal defect .]	ventricular septal defect occurring in	ventricular septal defect occurring in association with aortic regurgitation.
6	2	253	16.3086	[radical operation for ventricular septal defect in infancy .]	ventricular septal defect occurring in	ventricular septal defect occurring in association with aortic regurgitation.
6	3	116	15.2851305	[ventricular septal defect and aortic regurgitation clinical, hemodynamic and surgical considerations .]	ventricular septal defect occurring in	ventricular septal defect occurring in association with aortic regurgitation.
6	4	238	15.181219	[ventricular septal defect with prolapsed aortic valve and outflow tract obstruction .]	ventricular septal defect occurring in	ventricular septal defect occurring in association with aortic regurgitation.
6	5	115	13.519914	[a study of ventricular septal defect associated with aortic insufficiency .]	ventricular septal defect occurring in	ventricular septal defect occurring in association with aortic regurgitation.
6	6	242	13.519256	[surgical treatment of ventricular septal defect .]	ventricular septal defect occurring in	ventricular septal defect occurring in association with aortic regurgitation.
6	7	260	12.940943	[ventricular septal defect with aortic insufficiency a clinical and hemodynamic study of 18 proved cases .]	ventricular septal defect occurring in	ventricular septal defect occurring in association with aortic regurgitation.
6	8	267	10.584356	[surgical treatment of atrial septal defect under hypothermia .]	ventricular septal defect occurring in	ventricular septal defect occurring in association with aortic regurgitation.
6	9	31	9.702204	[a case of interventricular septal defect with dextrocardia and situs inversus treated by surgery .]	ventricular septal defect occurring in	ventricular septal defect occurring in association with aortic regurgitation.
6	10	243	9.431277	[some hemodynamic observations in congenital heart disease with special reference to pressure curves in ductus arteriosus .]	ventricular septal defect occurring in	ventricular septal defect occurring in association with aortic regurgitation.
7	1	189	8.904093	[detection of pericardial effusion by radioisotope heart scanning .]	radioisotopes in heart scanning mainly	radioisotopes in heart scanning.  mainly used in diagnosis of pericardial effusions.  also used to study tumors, heart enlargement, aneurysms and pericardial thickening.  technetium, rihsa, radioactive hippurate, cholegraffin are used.
7	2	82	7.377071	[cesium-131 uptake and distribution in the human heart.]	radioisotopes in heart scanning mainly	radioisotopes in heart scanning.  mainly used in diagnosis of pericardial effusions.  also used to study tumors, heart enlargement, aneurysms and pericardial thickening.  technetium, rihsa, radioactive hippurate, cholegraffin are used.
7	3	92	6.6236825	[demonstration of ventricular aneurysms by radioisotope scanning .]	radioisotopes in heart scanning mainly	radioisotopes in heart scanning.  mainly used in diagnosis of pericardial effusions.  also used to study tumors, heart enlargement, aneurysms and pericardial thickening.  technetium, rihsa, radioactive hippurate, cholegraffin are used.
7	4	391	5.702862	[1671.]	radioisotopes in heart scanning mainly	radioisotopes in heart scanning.  mainly used in diagnosis of pericardial effusions.  also used to study tumors, heart enlargement, aneurysms and pericardial thickening.  technetium, rihsa, radioactive hippurate, cholegraffin are used.
7	5	114	5.6014943	[congenital heart disease in the adult .]	radioisotopes in heart scanning mainly	radioisotopes in heart scanning.  mainly used in diagnosis of pericardial effusions.  also used to study tumors, heart enlargement, aneurysms and pericardial thickening.  technetium, rihsa, radioactive hippurate, cholegraffin are used.
7	6	97	5.3713236	[attitudinal factors in congenital heart disease .]	radioisotopes in heart scanning mainly	radioisotopes in heart scanning.  mainly used in diagnosis of pericardial effusions.  also used to study tumors, heart enlargement, aneurysms and pericardial thickening.  technetium, rihsa, radioactive hippurate, cholegraffin are used.
7	7	139	5.023277	[surgical aspects of heart disease in pregnancy .]	radioisotopes in heart scanning mainly	radioisotopes in heart scanning.  mainly used in diagnosis of pericardial effusions.  also used to study tumors, heart enlargement, aneurysms and pericardial thickening.  technetium, rihsa, radioactive hippurate, cholegraffin are used.
7	8	246	4.668086	[renal hemosiderosis (blue kidney) in patients with valvular heart disease .]	radioisotopes in heart scanning mainly	radioisotopes in heart scanning.  mainly used in diagnosis of pericardial effusions.  also used to study tumors, heart enlargement, aneurysms and pericardial thickening.  technetium, rihsa, radioactive hippurate, cholegraffin are used.
7	9	239	4.5429068	[functional adaptations of the right ventricular outflow tract in congenital heart disease .]	radioisotopes in heart scanning mainly	radioisotopes in heart scanning.  mainly used in diagnosis of pericardial effusions.  also used to study tumors, heart enlargement, aneurysms and pericardial thickening.  technetium, rihsa, radioactive hippurate, cholegraffin are used.
7	10	121	4.2941184	[measurement of pericardial fluid correlated with the i -cholografin and ihsa heart scan .]	radioisotopes in heart scanning mainly	radioisotopes in heart scanning.  mainly used in diagnosis of pericardial effusions.  also used to study tumors, heart enlargement, aneurysms and pericardial thickening.  technetium, rihsa, radioactive hippurate, cholegraffin are used.
8	1	251	6.768453	[drugs and neonatal jaundice .]	the effects of drugs on	the effects of drugs on the bone marrow of man and animals, specifically the effect of pesticides.  also, the significance of bone marrow changes.
8	2	52	5.9827685	[blood and bone marrow damage caused by drugs .]	the effects of drugs on	the effects of drugs on the bone marrow of man and animals, specifically the effect of pesticides.  also, the significance of bone marrow changes.
8	3	577	5.8040853	[acromegaly the effects of various steroid hormones on the insulin-induced growth hormone response and peter h.]	the effects of drugs on	the effects of drugs on the bone marrow of man and animals, specifically the effect of pesticides.  also, the significance of bone marrow changes.
8	4	162	5.709047	[effects of ruminal insufflation on cerebral circulation and metabolism in the goat .]	the effects of drugs on	the effects of drugs on the bone marrow of man and animals, specifically the effect of pesticides.  also, the significance of bone marrow changes.
8	5	120	5.57083	[early effects of digitalis on central hemodynamics in normal subjects .]	the effects of drugs on	the effects of drugs on the bone marrow of man and animals, specifically the effect of pesticides.  also, the significance of bone marrow changes.
8	6	204	5.2601485	[psychological effects of circumcision .]	the effects of drugs on	the effects of drugs on the bone marrow of man and animals, specifically the effect of pesticides.  also, the significance of bone marrow changes.
8	7	156	5.0548058	[a comparison of the cytologic effects of leurosine methiodide and vinblastine in tissue culture .]	the effects of drugs on	the effects of drugs on the bone marrow of man and animals, specifically the effect of pesticides.  also, the significance of bone marrow changes.
8	8	118	4.9173236	[effects of aortic regurgitation on left ventricular performance direct determinations of aortic blood flow before and after valve replacement .]	the effects of drugs on	the effects of drugs on the bone marrow of man and animals, specifically the effect of pesticides.  also, the significance of bone marrow changes.
8	9	889	4.844362	[the impact of individual differences on language learning.]	the effects of drugs on	the effects of drugs on the bone marrow of man and animals, specifically the effect of pesticides.  also, the significance of bone marrow changes.
8	10	551	4.7447457	[effects of parathyroid hormone and other proteins in vitro on mitochondrial metabolism it is apparent that in addition to parathyroid hormone, several non-hormonal basic proteins stimulate mitochondrial respiration, ion transport, and atpase, but inhibit the 32pi-atp exchange reaction.]	the effects of drugs on	the effects of drugs on the bone marrow of man and animals, specifically the effect of pesticides.  also, the significance of bone marrow changes.
9	1	56	7.408798	[current status of hypothermia .]	the use of induced hypothermia	the use of induced hypothermia in heart surgery, neurosurgery, head injuries and infectious diseases.
9	2	125	7.0969462	[the effect of hypothermia on circulatory reflexes in the human .]	the use of induced hypothermia	the use of induced hypothermia in heart surgery, neurosurgery, head injuries and infectious diseases.
9	3	267	6.804158	[surgical treatment of atrial septal defect under hypothermia .]	the use of induced hypothermia	the use of induced hypothermia in heart surgery, neurosurgery, head injuries and infectious diseases.
9	4	268	6.804063	[internal cooling for general hypothermia .]	the use of induced hypothermia	the use of induced hypothermia in heart surgery, neurosurgery, head injuries and infectious diseases.
9	5	89	6.1057906	[reaction of the adrenal cortex during controlled experimental hypothermia .]	the use of induced hypothermia	the use of induced hypothermia in heart surgery, neurosurgery, head injuries and infectious diseases.
9	6	64	5.844969	[the meaning of ph at low temperatures during extra-corporeal circulation a review of the temperature gradients occurring during profound hypothermia is made in regard to acid base changes in general, and to ph readings in particular .]	the use of induced hypothermia	the use of induced hypothermia in heart surgery, neurosurgery, head injuries and infectious diseases.
9	7	273	5.794258	[hypothermia in management of acute renal failure .]	the use of induced hypothermia	the use of induced hypothermia in heart surgery, neurosurgery, head injuries and infectious diseases.
9	8	126	5.6733108	[studies in perfusion hypothermia with special reference to /deep hypothermia/ and circulatory arrest .]	the use of induced hypothermia	the use of induced hypothermia in heart surgery, neurosurgery, head injuries and infectious diseases.
9	9	53	5.589141	[hypothermia.]	the use of induced hypothermia	the use of induced hypothermia in heart surgery, neurosurgery, head injuries and infectious diseases.
9	10	269	5.168653	[late effects of regional renal hypothermia .]	the use of induced hypothermia	the use of induced hypothermia in heart surgery, neurosurgery, head injuries and infectious diseases.
10	1	52	4.1606507	[blood and bone marrow damage caused by drugs .]	neoplasm immunology	neoplasm immunology.
10	2	543	4.0985928	[266.]	neoplasm immunology	neoplasm immunology.
10	3	532	3.8631282	[2570.]	neoplasm immunology	neoplasm immunology.
10	4	702	3.6476576	[hydrocephalus due to unrecognized cerebellar astrocytoma treated by ventriculoatrial shunt for four years a case of a 9-year-old girl is presented in whom prolonged palliation of signs of increased intracranial pressure, presumed to be due to aqueductal obstruction, was achieved by means of a ventriculoatrial shunt.]	neoplasm immunology	neoplasm immunology.
10	5	716	3.2062724	[hydrocephalus any present day definition of hydrocephalus is very loose.]	neoplasm immunology	neoplasm immunology.
10	6	775	3.0177984	[management of advanced endometrial adenocarcinoma with medroxyprogesterone acetate a basis for progestin therapy for patients with advanced endometrial adenocarcinoma is presented.]	neoplasm immunology	neoplasm immunology.
10	7	214	2.7732668	[studies in sickle cell anemia xxi.]	neoplasm immunology	neoplasm immunology.
11	1	861	6.13689	[j.]	blood or urinary steroids in	blood or urinary steroids in human breast or prostatic neoplasms.
11	2	699	5.977675	[antidiuretic properties of chlorothiazide in diabetes insipidus dogs chlorothiazide was found to decrease urine volume and increase urine con- centration in diabetes insipidus dogs.]	blood or urinary steroids in	blood or urinary steroids in human breast or prostatic neoplasms.
11	3	446	5.4744787	[3752.]	blood or urinary steroids in	blood or urinary steroids in human breast or prostatic neoplasms.
11	4	1022	5.3218727	[protein-losing enteropathy complicating prolonged bleeding in hemophilia.]	blood or urinary steroids in	blood or urinary steroids in human breast or prostatic neoplasms.
11	5	460	5.1280813	[1835.]	blood or urinary steroids in	blood or urinary steroids in human breast or prostatic neoplasms.
11	6	32	5.1126003	[excretion patterns of urinary metabolites of estradiol-4-c14 in postmenopausal women with benign and malignant disease of the breast .]	blood or urinary steroids in	blood or urinary steroids in human breast or prostatic neoplasms.
11	7	697	5.0566654	[antidiuretic effect of hydrochlorothiazide in diabetes insipidus and ch'iuan-lu 12 cases of diabetes insipidus were studied during hydrochlorothia- zide therapy under a fixed diet.]	blood or urinary steroids in	blood or urinary steroids in human breast or prostatic neoplasms.
11	8	66	5.01186	[urinary steroid estimations in the prediction of response to adrenalectomy or hypophysectomy .]	blood or urinary steroids in	blood or urinary steroids in human breast or prostatic neoplasms.
11	9	226	4.98814	[/urinary 17-ketosteroid excretion study in radiation induced menopause in carcinoma breast.]	blood or urinary steroids in	blood or urinary steroids in human breast or prostatic neoplasms.
11	10	448	4.8603287	[2366.]	blood or urinary steroids in	blood or urinary steroids in human breast or prostatic neoplasms.
12	1	368	6.3465476	[198.]	effect of azathioprine on systemic	effect of azathioprine on systemic lupus erythematosus, particularly in regard to renal lesions.
12	2	19	6.042045	[systemic lupus erythematosus and renal transplantation.]	effect of azathioprine on systemic	effect of azathioprine on systemic lupus erythematosus, particularly in regard to renal lesions.
12	3	255	5.6279874	[effect of heterologous antiserum and complement on glycolysis of tumor cells .]	effect of azathioprine on systemic	effect of azathioprine on systemic lupus erythematosus, particularly in regard to renal lesions.
12	4	782	5.577472	[systemic chemotherapy for cns metastases of solid tumors of the 13 cases studied, remissions were ob- tained in eight.]	effect of azathioprine on systemic	effect of azathioprine on systemic lupus erythematosus, particularly in regard to renal lesions.
12	5	49	5.469599	[the effect of selenium on the upper respiratory passages .]	effect of azathioprine on systemic	effect of azathioprine on systemic lupus erythematosus, particularly in regard to renal lesions.
12	6	1031	5.378009	[epsilon-aminocaproic acid (e-aca) as a therapeutic agent based on 5 years clinical experience.]	effect of azathioprine on systemic	effect of azathioprine on systemic lupus erythematosus, particularly in regard to renal lesions.
12	7	63	5.1064487	[the effect of dehydroepiandrosterone on the dehydroxycorticosteroids in the plasms in various stages of breast cancer and mastopathy .]	effect of azathioprine on systemic	effect of azathioprine on systemic lupus erythematosus, particularly in regard to renal lesions.
12	8	179	5.0247245	[bacteriophages that lyse mycobacteria and corynebacteria, and show cytopathogenic effect on tissue cultures of renal cells of cercopithecus aethiops.]	effect of azathioprine on systemic	effect of azathioprine on systemic lupus erythematosus, particularly in regard to renal lesions.
12	9	597	5.0189633	[effect of testosterone propionate and growth hormone on growth and chemical composition of muscle and other tissues in hypophysectomized male rats the effect of testosterone propionate and growth hormone on the growth of muscle, bone, pelt, viscera and seminal vesicles was studied in hypophysectomized male rats.]	effect of azathioprine on systemic	effect of azathioprine on systemic lupus erythematosus, particularly in regard to renal lesions.
12	10	882	4.7852345	[effect of abdominal operation on glucose tolerance and serum levels of insulin, growth hormone, and hydrocortisone.]	effect of azathioprine on systemic	effect of azathioprine on systemic lupus erythematosus, particularly in regard to renal lesions.
13	1	196	16.688633	[characterization of bacillus subtilis bacteriophages .]	bacillus subtilis phages and genetics	bacillus subtilis phages and genetics, with particular reference to transduction.
13	2	197	13.862119	[transduction in bacillus subtilis .]	bacillus subtilis phages and genetics	bacillus subtilis phages and genetics, with particular reference to transduction.
13	3	147	10.568084	[autolysis of bacillus subtilis by glucose depletion .]	bacillus subtilis phages and genetics	bacillus subtilis phages and genetics, with particular reference to transduction.
13	4	144	10.295497	[on the mechanism of genetic recombination in transforming bacillus subtilis .]	bacillus subtilis phages and genetics	bacillus subtilis phages and genetics, with particular reference to transduction.
13	5	194	10.187702	[comparison of ultraviolet sensitivity of bacillus subtilis bacteriophage spo2 and its infectious dna .]	bacillus subtilis phages and genetics	bacillus subtilis phages and genetics, with particular reference to transduction.
13	6	199	9.766112	[infectivity of dna isolated from bacillus subtilis bacteriophage, sp82 .]	bacillus subtilis phages and genetics	bacillus subtilis phages and genetics, with particular reference to transduction.
13	7	198	9.251295	[the carrier state of bacillus subtilis infected with the transducing bacteriophage sp10 .]	bacillus subtilis phages and genetics	bacillus subtilis phages and genetics, with particular reference to transduction.
13	8	195	9.1381645	[the isolation and morphology of some new bacteriophages specific for bacillus and acetobacter species .]	bacillus subtilis phages and genetics	bacillus subtilis phages and genetics, with particular reference to transduction.
13	9	146	8.039428	[comparison of mutation and inactivation rates induced in bacteriophage and transforming dna by various mutagens .]	bacillus subtilis phages and genetics	bacillus subtilis phages and genetics, with particular reference to transduction.
13	10	145	5.877757	[physical and biological studies on transforming dna .]	bacillus subtilis phages and genetics	bacillus subtilis phages and genetics, with particular reference to transduction.
14	1	23	13.399395	[renal amyloidosis a clinicopathological study .]	renal amyloidosis as a complication	renal amyloidosis as a complication of tuberculosis and the effects of steroids on this condition.  only the terms kidney diseases and nephrotic syndrome were selected by the requester.  prednisone and prednisolone are the only steroids of interest.
14	2	26	12.595491	[renal amyloidosis.]	renal amyloidosis as a complication	renal amyloidosis as a complication of tuberculosis and the effects of steroids on this condition.  only the terms kidney diseases and nephrotic syndrome were selected by the requester.  prednisone and prednisolone are the only steroids of interest.
14	3	455	6.5712104	[766.]	renal amyloidosis as a complication	renal amyloidosis as a complication of tuberculosis and the effects of steroids on this condition.  only the terms kidney diseases and nephrotic syndrome were selected by the requester.  prednisone and prednisolone are the only steroids of interest.
14	4	24	5.5457516	[idiopathic autoimmune hemolytic anemia and idiopathic thrombocytopenic purpura associated with diffuse hypergammaglobulinemia, amyloidosis, hypoalbuminemia and plasmacytosis .]	renal amyloidosis as a complication	renal amyloidosis as a complication of tuberculosis and the effects of steroids on this condition.  only the terms kidney diseases and nephrotic syndrome were selected by the requester.  prednisone and prednisolone are the only steroids of interest.
14	5	25	5.4175806	[corticosteroid therapy of amyloid nephrotic syndrome .]	renal amyloidosis as a complication	renal amyloidosis as a complication of tuberculosis and the effects of steroids on this condition.  only the terms kidney diseases and nephrotic syndrome were selected by the requester.  prednisone and prednisolone are the only steroids of interest.
14	6	461	5.3306293	[1837.]	renal amyloidosis as a complication	renal amyloidosis as a complication of tuberculosis and the effects of steroids on this condition.  only the terms kidney diseases and nephrotic syndrome were selected by the requester.  prednisone and prednisolone are the only steroids of interest.
14	7	466	5.066613	[3535.]	renal amyloidosis as a complication	renal amyloidosis as a complication of tuberculosis and the effects of steroids on this condition.  only the terms kidney diseases and nephrotic syndrome were selected by the requester.  prednisone and prednisolone are the only steroids of interest.
14	8	269	4.982391	[late effects of regional renal hypothermia .]	renal amyloidosis as a complication	renal amyloidosis as a complication of tuberculosis and the effects of steroids on this condition.  only the terms kidney diseases and nephrotic syndrome were selected by the requester.  prednisone and prednisolone are the only steroids of interest.
14	9	19	4.8000493	[systemic lupus erythematosus and renal transplantation.]	renal amyloidosis as a complication	renal amyloidosis as a complication of tuberculosis and the effects of steroids on this condition.  only the terms kidney diseases and nephrotic syndrome were selected by the requester.  prednisone and prednisolone are the only steroids of interest.
14	10	674	4.682944	[experimentelle nierenvergroberung nach unilateraler nephrektomie bei ratten untersuchungen mit 3h-thymidin in this paper it is attempted to clarify certain questions as to the mechanism of compensatory renal hypertrophy by means of histological, cytological, and autoradiographical examinations in nephrectomy experiments on young and grown rats.]	renal amyloidosis as a complication	renal amyloidosis as a complication of tuberculosis and the effects of steroids on this condition.  only the terms kidney diseases and nephrotic syndrome were selected by the requester.  prednisone and prednisolone are the only steroids of interest.
15	1	219	12.881754	[alterations of visual evoked response in the presence of homonymous visual defects .]	homonymous hemianopsia in visual aphasia	homonymous hemianopsia in visual aphasia, particularly measurement and assessment.  gerstmann's syndrome and agnosia are also of interest.
15	2	103	11.317266	[physiologic bitemporal hemianopsia in pregnancy .]	homonymous hemianopsia in visual aphasia	homonymous hemianopsia in visual aphasia, particularly measurement and assessment.  gerstmann's syndrome and agnosia are also of interest.
15	3	361	10.500618	[375.]	homonymous hemianopsia in visual aphasia	homonymous hemianopsia in visual aphasia, particularly measurement and assessment.  gerstmann's syndrome and agnosia are also of interest.
15	4	893	8.01404	[acquired aphasia in children.]	homonymous hemianopsia in visual aphasia	homonymous hemianopsia in visual aphasia, particularly measurement and assessment.  gerstmann's syndrome and agnosia are also of interest.
15	5	885	6.8095355	[an unusual form of acquired aphasia in children.]	homonymous hemianopsia in visual aphasia	homonymous hemianopsia in visual aphasia, particularly measurement and assessment.  gerstmann's syndrome and agnosia are also of interest.
15	6	110	6.3901978	[visual neglect .]	homonymous hemianopsia in visual aphasia	homonymous hemianopsia in visual aphasia, particularly measurement and assessment.  gerstmann's syndrome and agnosia are also of interest.
15	7	928	6.38326	[visual versus tactual receptor preference in normal and schizophrenic children.]	homonymous hemianopsia in visual aphasia	homonymous hemianopsia in visual aphasia, particularly measurement and assessment.  gerstmann's syndrome and agnosia are also of interest.
15	8	220	6.3707466	[cerebro-vascular lesions and livedo reticularis .]	homonymous hemianopsia in visual aphasia	homonymous hemianopsia in visual aphasia, particularly measurement and assessment.  gerstmann's syndrome and agnosia are also of interest.
15	9	350	6.274862	[1288.]	homonymous hemianopsia in visual aphasia	homonymous hemianopsia in visual aphasia, particularly measurement and assessment.  gerstmann's syndrome and agnosia are also of interest.
15	10	356	5.994672	[2496.]	homonymous hemianopsia in visual aphasia	homonymous hemianopsia in visual aphasia, particularly measurement and assessment.  gerstmann's syndrome and agnosia are also of interest.
16	1	202	15.862614	[stranger and separation anxiety in infancy .]	separation anxiety in infancy i	separation anxiety in infancy (i.e. up to two years of age) and in preschool children, particularly separation of a child from its mother.
16	2	36	12.693811	[separation anxiety as a cause of early emotional problems in children .]	separation anxiety in infancy i	separation anxiety in infancy (i.e. up to two years of age) and in preschool children, particularly separation of a child from its mother.
16	3	205	8.339441	[changes in children's behavior after hospitalization some dimensions of response and their correlates .]	separation anxiety in infancy i	separation anxiety in infancy (i.e. up to two years of age) and in preschool children, particularly separation of a child from its mother.
